================================================================================
📊 GYROSTARS - TOZALANGAN VA HAQIQIY BALANSLAR HISOBOTI
🕒 Sana va vaqt: 2026-08-21 18:44:29
👥 Jami foydalanuvchilar: 308 ta
💰 Balansga ega foydalanuvchilar: 1 ta
💳 Jami foydalanuvchilar balansi: 32 000 so'm
================================================================================

--- 🌟 BALANSGA EGA FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Izoh                          
--------------------------------------------------------------------------------
1     | 8856364002       | 32 000 so'm            | 202k - 170k (Premium olingan) 

--- ⚪ 0 SO'M BALANSLI FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Holat               
--------------------------------------------------------------------------------
107   | 6535667666       | 0 so'm                 | Tozalangan          
108   | 6555416844       | 0 so'm                 | Tozalangan          
109   | 6560079011       | 0 so'm                 | Tozalangan          
110   | 6563523946       | 0 so'm                 | Tozalangan          
111   | 6585419323       | 0 so'm                 | Tozalangan          
112   | 6588981051       | 0 so'm                 | Tozalangan          
113   | 6593021471       | 0 so'm                 | Tozalangan          
114   | 6593623858       | 0 so'm                 | Tozalangan          
115   | 6633240677       | 0 so'm                 | Tozalangan          
116   | 6634188459       | 0 so'm                 | Tozalangan          
117   | 6659556205       | 0 so'm                 | Tozalangan          
118   | 6694010257       | 0 so'm                 | Tozalangan          
119   | 6702786163       | 0 so'm                 | Tozalangan          
120   | 6707505409       | 0 so'm                 | Tozalangan          
121   | 6711218400       | 0 so'm                 | Tozalangan          
122   | 6716178883       | 0 so'm                 | Tozalangan          
123   | 6718147085       | 0 so'm                 | Tozalangan          
124   | 6738366905       | 0 so'm                 | Tozalangan          
125   | 6741264664       | 0 so'm                 | Tozalangan          
126   | 6746025881       | 0 so'm                 | Tozalangan          
127   | 6754027189       | 0 so'm                 | Tozalangan          
128   | 6756119976       | 0 so'm                 | Tozalangan          
129   | 6758943382       | 0 so'm                 | Tozalangan          
130   | 6759529287       | 0 so'm                 | Tozalangan          
131   | 6762546587       | 0 so'm                 | Tozalangan          
132   | 6771377447       | 0 so'm                 | Tozalangan          
133   | 6792183651       | 0 so'm                 | Tozalangan          
134   | 6801317326       | 0 so'm                 | Tozalangan          
135   | 6811032495       | 0 so'm                 | Tozalangan          
136   | 6826404489       | 0 so'm                 | Tozalangan          
137   | 6827033979       | 0 so'm                 | Tozalangan          
